epoch,loss,lr,val_loss
0,1.6152476072311401,0.001,1.3097035884857178
1,1.1818732023239136,0.001,1.2550461292266846
2,1.0945289134979248,0.001,1.5403475761413574
3,1.0471446514129639,0.001,1.2764973640441895
4,0.9037473797798157,0.0005,1.2386680841445923
5,0.8908476233482361,0.0005,1.2790982723236084
6,0.8524853587150574,0.0005,1.2144463062286377
7,0.840135395526886,0.0005,1.2977728843688965
8,0.8145141005516052,0.0005,1.4155466556549072
9,0.8030503392219543,0.00025,1.298099398612976
10,0.8191812038421631,0.00025,1.1933172941207886
